﻿"ID","Severity","Class","Last Update","Initial Update","Count","Description",
"5607","Critical","POST Message","08/01/2026 12:36","08/01/2026 12:36","1","POST Error: No usable memory detected.",
"5606","Critical","POST Message","08/01/2026 12:35","08/01/2026 12:35","3","POST Error: 232 - Memory initialization error - Processor 1, DIMM 3 failed.",
"5605","Critical","POST Message","08/01/2026 12:35","08/01/2026 12:35","1","POST Error: 232 - Memory initialization error - Processor 1, DIMM 5 failed.",
"5604","Critical","POST Message","08/01/2026 12:35","08/01/2026 12:35","1","POST Error: 232 - Memory initialization error - Processor 1, DIMM 1 failed.",
"5603","Critical","POST Message","08/01/2026 12:29","08/01/2026 12:29","2","POST Error: 207-Memory initialization error on Processor 1 Socket 3. The operating system may not have access to all of the memory installed in the system.",
"5602","Critical","POST Message","08/01/2026 12:29","08/01/2026 12:29","1","POST Error: 207-Memory initialization error on Processor 1 Socket 5. The operating system may not have access to all of the memory installed in the system.",
"5601","Critical","POST Message","08/01/2026 12:29","08/01/2026 12:29","1","POST Error: 207-Memory initialization error on Processor 1 Socket 1. The operating system may not have access to all of the memory installed in the system.",
"5600","Caution","POST Message","08/01/2026 12:31","08/01/2026 12:15","2","POST Error: 1705-Slot X Drive Array - Please replace Cache Module Super-Cap. Caching will be enabled once Super-Cap has been replaced and charged.",
"5599","Caution","POST Message","08/01/2026 12:31","08/01/2026 12:15","2","POST Error: 1785-Slot X Drive Array Not Configured",
"5598","Critical","POST Message","08/01/2026 12:13","08/01/2026 12:13","1","POST Error: 207-Memory initialization error on Processor 1 Socket 2. The operating system may not have access to all of the memory installed in the system.",
"5597","Caution","POST Message","08/01/2026 12:13","08/01/2026 12:13","1","POST Error: 207-Invalid Memory Configuration - Processor 1, DIMM 4 incorrectly installed. Please refer to Memory Population Rules in Documentation. This Memory will not be utilized.",
"5596","Critical","Main Memory","08/01/2026 12:13","08/01/2026 12:13","1","Uncorrectable Memory Error ((Processor 1, Memory Module 5))",
"5595","Caution","POST Message","07/31/2026 15:19","07/31/2026 15:19","1","POST Error: 1705-Slot X Drive Array - Please replace Cache Module Super-Cap. Caching will be enabled once Super-Cap has been replaced and charged.",
"5594","Caution","POST Message","07/31/2026 15:19","07/31/2026 15:19","1","POST Error: 1785-Slot X Drive Array Not Configured",
"5593","Critical","POST Message","07/31/2026 15:17","07/31/2026 15:17","1","POST Error: 207-Memory initialization error on Processor 1 Socket 2. The operating system may not have access to all of the memory installed in the system.",
"5592","Caution","POST Message","07/31/2026 15:17","07/31/2026 15:17","1","POST Error: 207-Invalid Memory Configuration - Processor 1, DIMM 4 incorrectly installed. Please refer to Memory Population Rules in Documentation. This Memory will not be utilized.",
"5591","Critical","Main Memory","07/31/2026 15:17","07/31/2026 15:17","1","Uncorrectable Memory Error ((Processor 1, Memory Module 5))",
"5590","Caution","POST Message","07/31/2026 14:07","07/31/2026 14:07","1","POST Error: 1705-Slot X Drive Array - Please replace Cache Module Super-Cap. Caching will be enabled once Super-Cap has been replaced and charged.",
"5589","Caution","POST Message","07/31/2026 14:07","07/31/2026 14:07","1","POST Error: 1785-Slot X Drive Array Not Configured",
"5588","Critical","POST Message","07/31/2026 14:05","07/31/2026 14:05","1","POST Error: 207-Memory initialization error on Processor 1 Socket 2. The operating system may not have access to all of the memory installed in the system.",
"5587","Caution","POST Message","07/31/2026 14:05","07/31/2026 14:05","1","POST Error: 207-Invalid Memory Configuration - Processor 1, DIMM 4 incorrectly installed. Please refer to Memory Population Rules in Documentation. This Memory will not be utilized.",
"5586","Critical","Main Memory","07/31/2026 14:05","07/31/2026 14:05","1","Uncorrectable Memory Error ((Processor 1, Memory Module 5))",
"5585","Critical","POST Message","07/31/2026 13:13","07/31/2026 13:07","2","POST Error: 207-Memory initialization error on Processor 1 Socket 2. The operating system may not have access to all of the memory installed in the system.",
"5584","Caution","POST Message","07/31/2026 13:13","07/31/2026 13:07","2","POST Error: 207-Invalid Memory Configuration - Processor 1, DIMM 4 incorrectly installed. Please refer to Memory Population Rules in Documentation. This Memory will not be utilized.",
"5583","Caution","Power","07/31/2026 13:03","07/31/2026 13:03","1","System Power Supply: Input Power Loss or Unplugged Power Cord, Verify Power Supply Input (Power Supply 1)",
"5582","Caution","POST Message","07/31/2026 13:15","07/31/2026 13:01","3","POST Error: 1705-Slot X Drive Array - Please replace Cache Module Super-Cap. Caching will be enabled once Super-Cap has been replaced and charged.",
"5581","Caution","POST Message","07/31/2026 13:15","07/31/2026 13:01","3","POST Error: 1785-Slot X Drive Array Not Configured",
"5580","Critical","POST Message","07/31/2026 12:59","07/31/2026 12:59","1","POST Error: 207-Memory initialization error on Processor 1 Socket 2. The operating system may not have access to all of the memory installed in the system.",
"5579","Caution","POST Message","07/31/2026 12:59","07/31/2026 12:59","1","POST Error: 207-Invalid Memory Configuration - Processor 1, DIMM 4 incorrectly installed. Please refer to Memory Population Rules in Documentation. This Memory will not be utilized.",
"5578","Caution","POST Message","07/31/2026 12:59","07/31/2026 12:59","1","POST Error: 1615-Power Supply Input Failure in Bay 1",
"5577","Caution","Power","[NOT SET] ","[NOT SET] ","1","System Power Supply: Input Power Loss or Unplugged Power Cord, Verify Power Supply Input (Power Supply 1)",
"5576","Critical","Main Memory","[NOT SET] ","[NOT SET] ","1","Uncorrectable Memory Error ((Processor 1, Memory Module 5))",
"5575","Critical","POST Message","07/31/2026 12:54","07/31/2026 12:54","1","POST Error: No usable memory detected.",
"5574","Critical","POST Message","07/31/2026 12:54","07/31/2026 12:54","1","POST Error: 232 - Memory initialization error - Processor 1, DIMM 1 failed.",
"5573","Critical","POST Message","07/31/2026 12:52","07/31/2026 12:52","1","POST Error: 228 - DIMM Configuration Error - Processor 1, Channel 1 - Memory channel not populated in correct order. See User Guide - System Halted!",
"5572","Critical","POST Message","07/31/2026 10:45","07/31/2026 10:45","1","POST Error: No usable memory detected.",
"5571","Critical","POST Message","07/31/2026 10:45","07/31/2026 10:45","3","POST Error: 232 - Memory initialization error - Processor 1, DIMM 3 failed.",
"5570","Critical","POST Message","07/31/2026 10:45","07/31/2026 10:45","1","POST Error: 232 - Memory initialization error - Processor 1, DIMM 2 failed.",
"5569","Critical","POST Message","07/31/2026 10:42","07/31/2026 10:42","2","POST Error: 207-Memory initialization error on Processor 1 Socket 3. The operating system may not have access to all of the memory installed in the system.",
"5568","Critical","Main Memory","07/31/2026 10:42","07/31/2026 10:42","1","Uncorrectable Memory Error ((Processor 1, Memory Module 3))",
"5567","Caution","POST Message","07/31/2026 10:44","07/31/2026 10:14","2","POST Error: 1705-Slot X Drive Array - Please replace Cache Module Super-Cap. Caching will be enabled once Super-Cap has been replaced and charged.",
"5566","Caution","POST Message","07/31/2026 10:44","07/31/2026 10:14","2","POST Error: 1785-Slot X Drive Array Not Configured",
"5565","Critical","POST Message","07/31/2026 10:42","07/31/2026 10:12","2","POST Error: 207-Memory initialization error on Processor 1 Socket 2. The operating system may not have access to all of the memory installed in the system.",
"5564","Critical","Main Memory","[NOT SET] ","[NOT SET] ","1","Uncorrectable Memory Error ((Processor 1, Memory Module 3))",
"5563","Critical","POST Message","07/30/2026 17:31","07/30/2026 17:31","1","POST Error: No usable memory detected.",
"5562","Critical","POST Message","07/30/2026 17:31","07/30/2026 17:31","4","POST Error: 232 - Memory initialization error - Processor 1, DIMM 3 failed.",
"5561","Critical","POST Message","07/30/2026 17:31","07/30/2026 17:31","1","POST Error: 232 - Memory initialization error - Processor 1, DIMM 2 failed.",
"5560","Critical","POST Message","07/30/2026 17:30","07/30/2026 17:29","4","POST Error: 207-Memory initialization error on Processor 1 Socket 3. The operating system may not have access to all of the memory installed in the system.",
"5559","Critical","POST Message","07/30/2026 17:30","07/30/2026 17:29","2","POST Error: 207-Memory initialization error on Processor 1 Socket 2. The operating system may not have access to all of the memory installed in the system.",
"5558","Critical","Main Memory","07/30/2026 17:30","07/30/2026 17:28","2","Uncorrectable Memory Error ((Processor 1, Memory Module 3))",
"5557","Critical","POST Message","07/30/2026 16:10","07/30/2026 16:10","2","POST Error: 232 - Memory initialization error - Processor 1, DIMM 3 failed.",
"5556","Critical","POST Message","07/30/2026 16:10","07/30/2026 16:10","1","POST Error: 232 - Memory initialization error - Processor 1, DIMM 2 failed.",
"5555","Caution","POST Message","07/30/2026 16:09","07/30/2026 16:09","1","POST Error: 1705-Slot X Drive Array - Please replace Cache Module Super-Cap. Caching will be enabled once Super-Cap has been replaced and charged.",
"5554","Caution","POST Message","07/30/2026 16:09","07/30/2026 16:09","1","POST Error: 1785-Slot X Drive Array Not Configured",
"5553","Critical","POST Message","07/30/2026 16:08","07/30/2026 16:07","2","POST Error: 207-Memory initialization error on Processor 1 Socket 3. The operating system may not have access to all of the memory installed in the system.",
"5552","Critical","POST Message","07/30/2026 16:07","07/30/2026 16:07","1","POST Error: 207-Memory initialization error on Processor 1 Socket 2. The operating system may not have access to all of the memory installed in the system.",
"5551","Critical","Main Memory","07/30/2026 16:08","07/30/2026 16:08","1","Uncorrectable Memory Error ((Processor 1, Memory Module 3))",
